Product Type,Count,Sample Products,Collections
"Necklace",15,"handmade-braided-horse-tail-hair-necklace; sterling-silver-cross-pendant-inlaid-with-hair; unisex-steel-horse-hair-keepsake-pendant; sterling-silver-horseshoe-with-heart-pendant-inlaid-with-horse-hair-braid; sterling-silver-unicorn-keepsake-necklace","horse-jewellery (Horse Jewellery - Equine & Equestrian Themed); living-horse-tales-jewellery-by-monika (Living Horse Tales Jewellery By Monika); globo_basis_collection (Globo basis collection - Do not delete); on-sale (On Sale - Discount On The Best Brands & Gear)"
"Merchandise",15,"knitted-socks; mens-dri-fit-base-layer; mens-softshell-jacket; mens-hoodie; mens-padded-jacket","trailrace-equestrian-outfitters (Trailrace Equestrian Outfitters); globo_basis_collection (Globo basis collection - Do not delete); horse-riding-apparel (Competition, Training & Casual - Horse Riding Clothes); base-layers (Shop Horse Riding Base Layers); horse-health (Horse Health & Nutrition); cavalor-equicare (Cavalor Equicare)"
"STABLE: Instruments",15,"bandage-scissors-1; ranvet-drench-gun-70ml; ranvet-oral-doser; stethoscope; terumo-needle-18g-x-11-2-strip-of-5","ascot-saddlery (Ascot Saddlery); globo_basis_collection (Globo basis collection - Do not delete); horse-health (Horse Health & Nutrition)"
"HORSE: Breastplates & Martingales",15,"breastplate-pressure-pad; jeremy-lord-breastplate-5-point-leather-black; jeremy-lord-breastplate-5-point-leather-brown; jeremy-lord-breastplate-martingale-eventing-elastic-leather-black; jeremy-lord-breastplate-martingale-eventing-elastic-leather-brown","strapping (Bridles & Strapping - Top Brands For All Disciplines); ascot-saddlery (Ascot Saddlery); zilco (Shop Zilco Rugs, Horse Boots & Accessories); globo_basis_collection (Globo basis collection - Do not delete)"
"Mens Footwear",15,"ariat-mns-turbo-pull-on-h2o-carbon-toe-barley-brown; ariat-mens-sport-booker-distress-tan-wst; ariat-mns-sport-wide-sq-toe; ariat-mens-dura-terrain-h20-distress-brown; ariat-mens-stanbroke-bark","ariat (Shop & Buy Ariat Clothing & Footwear); globo_basis_collection (Globo basis collection - Do not delete); shire-saddleworld (Shire Saddleworld); on-sale (On Sale - Discount On The Best Brands & Gear)"
"Leather",15,"oakwood-leather-oil-500ml-1; ge-wy-leather-conditioner-125ml; oakwood-shoe-care-kit; bates-leather-balsam; jl-dubbin-neutral-100ml","on-sale (On Sale - Discount On The Best Brands & Gear); globo_basis_collection (Globo basis collection - Do not delete); shire-saddleworld (Shire Saddleworld); wintec (Shop Wintec - Saddles & Equestrian Gear)"
"Womens Footwear",15,"ariat-womens-cruiser-brown-floral-emboss; ariat-womens-portland; ariat-womens-heritage-western-rtoe; ariat-wms-quickdraw-sandstorm-distress-white; ariat-womens-heritage-iv-zip-paddock-boot","ariat (Shop & Buy Ariat Clothing & Footwear); globo_basis_collection (Globo basis collection - Do not delete); shire-saddleworld (Shire Saddleworld); on-sale (On Sale - Discount On The Best Brands & Gear); eurohunter (Shop Eurohunter Equestrian Gear & Accessories)"
"Dog Food",15,"taste-of-the-wild-puppy-high-prairie-bison-roasted-venison-2kg; taste-of-the-wild-puppy-pacific-stream-smoked-salmon-2kg; taste-of-the-wild-dog-wet-turkey-duck-with-fruit-vegetables-390gm; taste-of-the-wild-dog-wet-duck-chicken-with-fruit-vegetables-390gm; taste-of-the-wild-dog-wet-salmon-herring-with-fruit-vegetables-390gm","ascot-saddlery (Ascot Saddlery); globo_basis_collection (Globo basis collection - Do not delete)"
"Tendon Boots",14,"kentucky-air-tech-eventing-hind-boots; kentucky-knee-tendon-boots; kentucky-tendon-boots-velcro; kentucky-vegan-sheepskin-tendon-boots-bamboo-elastic; kentucky-tendon-boots-bamboo-elastic","horse-boots (Horse Boots - All Types); dapple-eq (Dapple EQ); kentucky (Shop Kentucky Horsewear - Boots, Pads, Bonnets, Girths, Bandages & More); globo_basis_collection (Globo basis collection - Do not delete); on-sale (On Sale - Discount On The Best Brands & Gear); tacklet (Tacklet)"
"Show Shirt",14,"animo-basilea-show-shirt; animo-bir-ladies-competition-shirt; anna-scarpati-felipa-show-shirt; anna-scarpati-freg-show-shirt; animo-basan-show-shirt","horse-riding-apparel (Competition, Training & Casual - Horse Riding Clothes); dapple-eq (Dapple EQ); on-sale (On Sale - Discount On The Best Brands & Gear); globo_basis_collection (Globo basis collection - Do not delete); anna-scarpati (Shop Anna Scarpati); animo (Shop Animo Equestrian Gear)"
"Racing",14,"all-elastic-race-girth-75mm-standard; elastic-exercise-girth; double-clip; fleece-cheek-covers; flair-nasal-strips","strapping (Bridles & Strapping - Top Brands For All Disciplines); trailrace-equestrian-outfitters (Trailrace Equestrian Outfitters); zilco (Shop Zilco Rugs, Horse Boots & Accessories); globo_basis_collection (Globo basis collection - Do not delete); horse-halters (Shop Horse Halters)"
"All Purpose",14,"thorowgood-t4-gp-pony; trainers-master-show; arena-all-purpose; bates-ap-pony; wintec-pro-endurance-hart","globo_basis_collection (Globo basis collection - Do not delete); shire-saddleworld (Shire Saddleworld); wintec (Shop Wintec - Saddles & Equestrian Gear)"
"Stable Accessories",13,"007-mineral-salt-blocks; dyon-stable-half-door; kelato-red-hot-paste-1; kentucky-horsewear-stable-bag; handy-little-bag","horse-health (Horse Health & Nutrition); trailrace-equestrian-outfitters (Trailrace Equestrian Outfitters); globo_basis_collection (Globo basis collection - Do not delete); little-equine-co (Little Equine Co); on-sale (On Sale - Discount On The Best Brands & Gear); dyon (Shop Dy'On European Classic Equestrian Gear); horse-bandages (Leg Wraps & Bandages For Your Horse Or Pony); kentucky (Shop Kentucky Horsewear - Boots, Pads, Bonnets, Girths, Bandages & More); tacklet (Tacklet)"
"Strapping",13,"equipe-breast-plate-with-elastic-bp20; equipe-draw-reins-re04; equipe-elastic-y-breastplate-bp01; equipe-elastic-martingale-fork-bp13; equipe-leather-draw-reins-re12","strapping (Bridles & Strapping - Top Brands For All Disciplines); trailrace-equestrian-outfitters (Trailrace Equestrian Outfitters); equipe (Shop Equipe); globo_basis_collection (Globo basis collection - Do not delete); horse-riding-apparel (Competition, Training & Casual - Horse Riding Clothes); zilco (Shop Zilco Rugs, Horse Boots & Accessories); on-sale (On Sale - Discount On The Best Brands & Gear); stirrups (Shop Horse Riding Stirrups & Leathers); accessories (Accessories)"
"Horse Rug",13,"amigo-aussie-allrounder-discfront-rug; amigo-allrounder-helix-classic-front-rug; amigo-bravo-12-plus-medium-turnout-rug; cavallo-hattie-show-fly-rug; cavallo-heida-fleece-rug","horse-rugs (Horse Rugs - All Types); little-equine-co (Little Equine Co); on-sale (On Sale - Discount On The Best Brands & Gear); globo_basis_collection (Globo basis collection - Do not delete); cavallo (Shop Cavallo Products); dyon (Shop Dy'On European Classic Equestrian Gear)"
"Dog Bedding",13,"anteprima-mathilde-bike-dog-bed-grey; bed-hessian-bag; bed-cover-classic-black-white; bed-mat-cooling; bed-mat-hessian","pets (Pets - Products For Dogs, Cats, & Other Small Animals); ascot-saddlery (Ascot Saddlery); globo_basis_collection (Globo basis collection - Do not delete)"
"Hat",13,"akubra-rough-rider-loden; sunbody-hat-oak-box-top-4-brim-7-3-8-59; wrangler-jhonson-bangora-hat; akubra-hat-box; akubra-hat-chin-strap","globo_basis_collection (Globo basis collection - Do not delete); shire-saddleworld (Shire Saddleworld)"
"Grooming Bags and Brushes",13,"shedding-coat-scraper-blade; horze-monster-body-brush; eurohunter-soft-touch-grooming-bag-brushes; horze-maddox-body-brush; plastic-thinning-razor-w-comb-blue","globo_basis_collection (Globo basis collection - Do not delete); shire-saddleworld (Shire Saddleworld); on-sale (On Sale - Discount On The Best Brands & Gear); eurohunter (Shop Eurohunter Equestrian Gear & Accessories)"
"Ladies Breeches",12,"animo-nagle-high-waisted-full-seat; animo-nenk-high-waisted-breeches; animo-nibras-ladies-breeches; anky-glacier-breeches-full-seat; animo-narrish-ladies-breeches","horse-riding-apparel (Competition, Training & Casual - Horse Riding Clothes); dapple-eq (Dapple EQ); animo (Shop Animo Equestrian Gear); on-sale (On Sale - Discount On The Best Brands & Gear); breeches (Horse Riding Breeches - Quality International & National Brands); globo_basis_collection (Globo basis collection - Do not delete)"
"HORSE: Nosebands & Browbands",12,"browband-plain-leather-black; browband-plain-leather-brown; jeremy-lord-noseband-figure-8-leather-black; jeremy-lord-noseband-figure-8-leather-brown; noseband-drop-leather-aintree-black","strapping (Bridles & Strapping - Top Brands For All Disciplines); ascot-saddlery (Ascot Saddlery); globo_basis_collection (Globo basis collection - Do not delete)"
"Riding Apparel & Accessories",12,"short-sleeve-riding-top-in-sky-blue; deluxe-pony-keyring-lilac; deluxe-pony-keyring-pink; deluxe-pony-keyring-yellow; deluxe-pony-keyring-red","horse-riding-apparel (Competition, Training & Casual - Horse Riding Clothes); plum-tack (Plum Tack - Quality Australia Riding Apparel & Clothing); globo_basis_collection (Globo basis collection - Do not delete); horse-jewellery (Horse Jewellery - Equine & Equestrian Themed); ippico-equestrian (Ippico Equestrian)"
"Belts & Bracelets",12,"noble-bracelet-birds-of-a-feather-brown; noble-bracelet-stirrup-wrap; noble-bracelet-follow-your-arrow-antique; noble-bracelet-floral-frenzy-bracelet-natural-tan; noble-bracelet-lariat-wrap-rustic-brown","top-brands (Top Brands); globo_basis_collection (Globo basis collection - Do not delete); birds (Shop Birds - Feed, Treats, Accessories, Supplies)"
"Mens Jeans",12,"stretch-jean-mid-reg-straight-34-inch-leg; lee-l101-staright-stretch-indigo; lee-l100-slim-authentic-fade; ariat-real-denim-mid-rise-boot-cut-marine; wrangler-straight-orginal-rinse","globo_basis_collection (Globo basis collection - Do not delete); shire-saddleworld (Shire Saddleworld); ariat (Shop & Buy Ariat Clothing & Footwear); on-sale (On Sale - Discount On The Best Brands & Gear)"
"Women's Breeches",12,"b-vertigo-olivia-breeches-white; bvertigo-tiffany-full-seat-silicone-grip-breeches; bvertigo-kimberley-full-suede-seat-breech; hz-kia-denim-breech-dnb-36-8; hz-cecelia-denim-breech-light-denim-blue","globo_basis_collection (Globo basis collection - Do not delete); shire-saddleworld (Shire Saddleworld); on-sale (On Sale - Discount On The Best Brands & Gear)"
"Plaiting",12,"topsy-tail-plait-puller; essentials-plaiting-kit; nrg-no-nots-500ml-1; plaiting-trimming-scissors; smooth-braids-250ml","globo_basis_collection (Globo basis collection - Do not delete); tacklet (Tacklet)"
"Hoof Care",11,"kelato-hoof-prime; tubbease-sole-insert; tubbease-hoof-sock; equinade-hoof-grease; prevent-repair-hoof-hygiene-spray-250ml","horse-grooming-supplies (Horse Grooming Gear & Accessories); horse-health (Horse Health & Nutrition); trailrace-equestrian-outfitters (Trailrace Equestrian Outfitters); globo_basis_collection (Globo basis collection - Do not delete); horse-boots (Horse Boots - All Types); farrier-tools (Shop Farrier Tools); on-sale (On Sale - Discount On The Best Brands & Gear); tacklet (Tacklet)"
"Ear Net",11,"alessandro-albanese-platinum-ear-nets; cavallo-harka-ear-net; cavallo-helima-ear-nets; cavallo-hiske-dark-blue-ear-bonnet-full-size; ps-of-sweden-wine-ear-net","horse-bandages (Leg Wraps & Bandages For Your Horse Or Pony); horse-health (Horse Health & Nutrition); little-equine-co (Little Equine Co); on-sale (On Sale - Discount On The Best Brands & Gear); globo_basis_collection (Globo basis collection - Do not delete); fly-veils-and-hoods (Mask & Fly Veils For Horses & Ponies); cavallo (Shop Cavallo Products); anna-scarpati (Shop Anna Scarpati)"
"Care Products",11,"champion-tails-ready-mixed-stain-remover; champion-tails-silver-highlight-stain-remover; champion-tails-natural-colour-restore-shampoo; champion-tails-silver-highlight-conditioner; champion-tails-silver-highlight-restore-shampoo","dapple-eq (Dapple EQ); globo_basis_collection (Globo basis collection - Do not delete); horse-grooming-supplies (Horse Grooming Gear & Accessories)"
"Tights",11,"competition-tights-snow-white-black-seat; competition-tights-stone; classic-hybrid-tights; seamless-freedom-tights-black; competition-hybrid-tights-snow-white","on-sale (On Sale - Discount On The Best Brands & Gear); globo_basis_collection (Globo basis collection - Do not delete); jnk-collective (JNK Collective)"
"Girth",11,"loop-on-girth-points-25mm-1-x-20-50cm-pair; eurohunter-coolmax-w-gel-girth-black; prestige-3a042-anatomic-dressage-girth; eurohunter-ultra-soft-long-shaped-girth-1; equi-prene-ringer-girth-black-80cm","globo_basis_collection (Globo basis collection - Do not delete); shire-saddleworld (Shire Saddleworld); eurohunter (Shop Eurohunter Equestrian Gear & Accessories); on-sale (On Sale - Discount On The Best Brands & Gear); prestige (Shop Prestige Saddles, Bridles & Equestrian Gear)"
"Breastplates",11,"fancy-stitch-5-point-breastplate-with-sheepskin-brown-grey-maroon-elastic; anka-breastplate; victory-3-point-breastplate; fancy-stitch-3-point-wing-breastplate-black-stainless-steel-in-stock; fancy-stitch-5-point-breastplate-with-sheepskin-navy-white-elastic","globo_basis_collection (Globo basis collection - Do not delete); tacklet (Tacklet); on-sale (On Sale - Discount On The Best Brands & Gear)"
"Rugs",10,"shanga-light-mesh-set; zilco-aircon-combo; wild-horse-ic-mesh-rug-hood; zilco-defender-cotton-combo; zilco-defender-cotton-rug","horse-rugs (Horse Rugs - All Types); trailrace-equestrian-outfitters (Trailrace Equestrian Outfitters); globo_basis_collection (Globo basis collection - Do not delete); zilco (Shop Zilco Rugs, Horse Boots & Accessories); on-sale (On Sale - Discount On The Best Brands & Gear)"
"Saddles - Saddle Accessories",10,"cavalleria-toscana-air-saddle-pad-jumping; acavallo-ortho-pubis-seat-saver; equipe-saddle-cover-with-pockets; equipe-sheepskin-glove; kentucky-saddle-cover","saddle-pads (Saddle Blankets, Pads & Squares); trailrace-equestrian-outfitters (Trailrace Equestrian Outfitters); cavalleria-toscana (Shop Cavalleria Toscana Equestrian Apparel & Horse Gear); on-sale (On Sale - Discount On The Best Brands & Gear); globo_basis_collection (Globo basis collection - Do not delete); saddles (Saddles For All Disciplines); equipe (Shop Equipe); horse-riding-apparel (Competition, Training & Casual - Horse Riding Clothes); kentucky (Shop Kentucky Horsewear - Boots, Pads, Bonnets, Girths, Bandages & More); stirrups (Shop Horse Riding Stirrups & Leathers); footwear (Horse Riding Boots & Footwear, Trainers, Workers); thinline-global-australia (Shop Thinline Global Australia)"
"Western Pads",10,"fort-worth-contoured-felt-saddle-pad; thinline-drop-rigging-pad-cotton; thinline-drop-rigging-pad-fleece; thinline-endurance-wax-tough-rider-pad; thinline-pro-tech-premium-felt-western-pad","saddle-pads (Saddle Blankets, Pads & Squares); trailrace-equestrian-outfitters (Trailrace Equestrian Outfitters); globo_basis_collection (Globo basis collection - Do not delete); thinline-global-australia (Shop Thinline Global Australia)"
"Shirt",10,"cavallo-digna-yng-youth-competition-shirt; animo-airblek-mans-short-sleeve-top; animo-aksa-mens-competition-shirt; pippa-shirt-jp-equestrian-fashion; grace-show-shirt-jp-equestrian-fashion","horse-riding-apparel (Competition, Training & Casual - Horse Riding Clothes); little-equine-co (Little Equine Co); cavallo (Shop Cavallo Products); globo_basis_collection (Globo basis collection - Do not delete); dapple-eq (Dapple EQ); on-sale (On Sale - Discount On The Best Brands & Gear); jp-equestrian-fashion (JP Equestrian Fashion); qj-riding-wear (QJ Riding Wear)"
"STABLE: Wormers",10,"abbey-labs-applemax-wormer-120ml; abbey-labs-easymec-wormer; bot-egg-knife; equest-plus-zoetis-tape-gel; equimec","horse-health (Horse Health & Nutrition); ascot-saddlery (Ascot Saddlery); globo_basis_collection (Globo basis collection - Do not delete)"
"RIDER: Jewellery",10,"bracelet-stirrup-black; bracelet-stirrup-havana; stock-pin-huntington-horse-gold-colour; stock-pin-huntington-horse-head-gold-colour; stock-pin-huntington-horse-silver-colour","ascot-saddlery (Ascot Saddlery); globo_basis_collection (Globo basis collection - Do not delete)"
